Id,Label,Description,Imageurl
?,Unknown,Object of Unknown Nature,unknown.png
*,Star,Star,star.png
**,**,Double or Multiple Star,star.png
a2*,alf2CVnV*,CVn Variable,star.png
AB*,AGB*,Asymptotic Giant Branch Star,star.png
Ae*,Ae*,Herbig Ae/Be Star,star.png
AGN,AGN,Active Galaxy Nucleus,black_hole.png
As*,Association,Association of Stars,star.png
bC*,bCepV*,beta Cep Variable,star.png
bCG,BlueCompactG,Blue Compact Galaxy,galaxy.png
BD*,BrownD*,Brown Dwarf,star.png
Be*,Be*,Be Star,star.png
BH,BlackHole,Black Hole,black_hole.png
BiC,BrightestCG,Brightest Galaxy in a Cluster (BCG),galaxy.png
Bla,Blazar,Blazar,galaxy.png
BLL,BLLac,BL Lac,galaxy.png
blu,blue,Blue Object,unknown.png
BS*,BlueStraggler,Blue Straggler,unknown.png
bub,Bubble,Bubble,unknown.png
BY*,BYDraV*,BY Dra Variable,star.png
C*,C*,Carbon Star,star.png
cC*,ClassicalCep,Classical Cepheid Variable,star.png
Ce*,Cepheid,Cepheid Variable,star.png
CGb,ComGlob,Cometary Globule / Pillar,nebula.png
CGG,Compact_Gr_G,Compact Group of Galaxies,galaxy.png
Cl*,Cluster*,Cluster of Stars,star.png
Cld,Cloud,Cloud,nebula.png
ClG,ClG,Cluster of Galaxies,galaxy.png
cm,cmRad,Centimetric Radio Source,unknown.png
cor,denseCore,Dense Core,unknown.png
CV*,CataclyV*,Cataclysmic Binary,binary.png
DNe,DarkNeb,Dark Cloud (nebula),nebula.png
dS*,delSctV*,delta Sct Variable,star.png
EB*,EclBin,Eclipsing Binary,star.png
El*,EllipVar,Ellipsoidal Variable,star.png
Em*,EmLine*,Emission-line Star,star.png
EmG,EmissionG,Emission-line galaxy,galaxy.png
EmO,EmObj,Emission Object,unknown.png
Er*,Eruptive*,Eruptive Variable,star.png
err,Inexistent,Not an Object,unknown.png
ev,Transient,Transient Event,unknown.png
Ev*,Evolved*,Evolved Star,star.png
FIR,FarIR,Far-IR source (λ >= 30 µm),unknown.png
flt,Filament,Interstellar Filament,unknown.png
G,Galaxy,Galaxy,galaxy.png
gam,gamma,Gamma-ray Source,unknown.png
gB,gammaBurst,Gamma-ray Burst,unknown.png
gD*,gammaDorV*,gamma Dor Variable,star.png
GiC,GtowardsCl,Galaxy towards a Cluster of Galaxies,galaxy.png
GiG,GtowardsGroup,Galaxy towards a Group of Galaxies,galaxy.png
GiP,GinPair,Galaxy in Pair of Galaxies,galaxy.png
glb,Globule,Globule (low-mass dark cloud),nebula.png
GlC,GlobCluster,Globular Cluster,galaxy.png
gLe,GravLens,Gravitational Lens,unknown.png
gLS,GravLensSystem,Gravitational Lens System (lens+images),unknown.png
GNe,GalNeb,Nebula,nebula.png
GrG,GroupG,Group of Galaxies,galaxy.png
grv,Gravitation,Gravitational Source,unknown.png
